"filename", "language", "Markdown", "GLSL", "XML", "HTML", "YAML", "C", "C++", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingNoTextureVert.vert", "GLSL", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, -5, -23
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextFrag.frag", "GLSL", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -5, -13
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextSetupFrag.frag", "GLSL", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -5, -13
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextSetupVert.vert", "GLSL", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextVert.vert", "GLSL", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\WhiteSpaceFrag.frag", "GLSL", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\WhiteSpaceVert.vert", "GLSL", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glad\include\KHR\khrplatform.h", "C++", 0, 0, 0, 0, 0, 0, -117, 0, 0, -165, -30, -312
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glad\include\glad\glad.h", "C++", 0, 0, 0, 0, 0, 0, -5095, 0, 0, -20, -17, -5132
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glad\src\glad.c", "C", 0, 0, 0, 0, 0, -2447, 0, 0, 0, -25, -47, -2519
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64\include\GLFW\glfw3.h", "C++", 0, 0, 0, 0, 0, 0, -597, 0, 0, -5068, -248, -5913
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64\include\GLFW\glfw3native.h", "C++", 0, 0, 0, 0, 0, 0, -93, 0, 0, -495, -41, -629
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\.appveyor.yml", "YAML", 0, 0, 0, 0, -81, 0, 0, 0, 0, 0, -12, -93
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\.github\workflows\make_light_release.yml", "YAML", 0, 0, 0, 0, -30, 0, 0, 0, 0, -1, -12, -43
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\.travis.yml", "YAML", 0, 0, 0, 0, -349, 0, 0, 0, 0, 0, -40, -389
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00001_source.html", "HTML", 0, 0, 0, -486, 0, 0, 0, 0, 0, -5, -3, -494
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00002_source.html", "HTML", 0, 0, 0, -114, 0, 0, 0, 0, 0, -5, -3, -122
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00003_source.html", "HTML", 0, 0, 0, -175, 0, 0, 0, 0, 0, -5, -3, -183
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00004_source.html", "HTML", 0, 0, 0, -898, 0, 0, 0, 0, 0, -5, -3, -906
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00005_source.html", "HTML", 0, 0, 0, -774, 0, 0, 0, 0, 0, -5, -3, -782
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00006_source.html", "HTML", 0, 0, 0, -255, 0, 0, 0, 0, 0, -5, -3, -263
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00007.html", "HTML", 0, 0, 0, -195, 0, 0, 0, 0, 0, -5, -6, -206
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00007_source.html", "HTML", 0, 0, 0, -243, 0, 0, 0, 0, 0, -5, -3, -251
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00008.html", "HTML", 0, 0, 0, -139, 0, 0, 0, 0, 0, -5, -6, -150
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00008_source.html", "HTML", 0, 0, 0, -147, 0, 0, 0, 0, 0, -5, -3, -155
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00009.html", "HTML", 0, 0, 0, -213, 0, 0, 0, 0, 0, -5, -6, -224
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00009_source.html", "HTML", 0, 0, 0, -205, 0, 0, 0, 0, 0, -5, -3, -213
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00010.html", "HTML", 0, 0, 0, -114, 0, 0, 0, 0, 0, -5, -6, -125
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00010_source.html", "HTML", 0, 0, 0, -126, 0, 0, 0, 0, 0, -5, -3, -134
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00011.html", "HTML", 0, 0, 0, -127, 0, 0, 0, 0, 0, -5, -6, -138
